plan_id,plan_title,plan_status,created_at,task_id,task_title,task_status,step_id,step_ord,step_text,step_status
20260906_髓鞘系统AGI化路线-向量化-事件队列-深度-多肢体-世界桥,髓鞘系统AGI化路线：向量化/事件队列/深度/多肢体/世界桥,open,2026-09-06 14:40:45,1,T1 边批向量化,open,1,1,"写批处理散射等价测试(docs/devo-project/verify/test_batched_dispatch.py): 同一训练后脑, batched路径与loop路径事件逐位等价",open
20260906_髓鞘系统AGI化路线-向量化-事件队列-深度-多肢体-世界桥,髓鞘系统AGI化路线：向量化/事件队列/深度/多肢体/世界桥,open,2026-09-06 14:40:45,1,T1 边批向量化,open,2,2,"实现SignalDispatcher.batched_scatter: 边结构(局部切片,gain,dst偏移)预计算堆叠, 一次张量散射生成事件",open
20260906_髓鞘系统AGI化路线-向量化-事件队列-深度-多肢体-世界桥,髓鞘系统AGI化路线：向量化/事件队列/深度/多肢体/世界桥,open,2026-09-06 14:40:45,1,T1 边批向量化,open,3,3,"回归: verify_attention_spikes与verify_ledgers行为不退化, 每步耗时记录对比",open
20260906_髓鞘系统AGI化路线-向量化-事件队列-深度-多肢体-世界桥,髓鞘系统AGI化路线：向量化/事件队列/深度/多肢体/世界桥,open,2026-09-06 14:40:45,1,T1 边批向量化,open,4,4,"batched_dispatch 接入主路径(higher_brain.dispatch_signal), 自适应回退保证小E行为不变",open
20260906_髓鞘系统AGI化路线-向量化-事件队列-深度-多肢体-世界桥,髓鞘系统AGI化路线：向量化/事件队列/深度/多肢体/世界桥,open,2026-09-06 14:40:45,2,T2 跨步事件队列,open,,,,
20260906_髓鞘系统AGI化路线-向量化-事件队列-深度-多肢体-世界桥,髓鞘系统AGI化路线：向量化/事件队列/深度/多肢体/世界桥,open,2026-09-06 14:40:45,3,T3 e-prop通路资格迹,open,,,,
20260906_髓鞘系统AGI化路线-向量化-事件队列-深度-多肢体-世界桥,髓鞘系统AGI化路线：向量化/事件队列/深度/多肢体/世界桥,open,2026-09-06 14:40:45,4,T4 多肢体爬虫脑,open,,,,
20260906_髓鞘系统AGI化路线-向量化-事件队列-深度-多肢体-世界桥,髓鞘系统AGI化路线：向量化/事件队列/深度/多肢体/世界桥,open,2026-09-06 14:40:45,5,T5 Three.js/Minecraft世界桥,open,,,,
20260906_髓鞘系统AGI化路线-向量化-事件队列-深度-多肢体-世界桥,髓鞘系统AGI化路线：向量化/事件队列/深度/多肢体/世界桥,open,2026-09-06 14:40:45,6,T6 跨模态benchmark对接,open,,,,
20260906_髓鞘系统AGI化路线-向量化-事件队列-深度-多肢体-世界桥,髓鞘系统AGI化路线：向量化/事件队列/深度/多肢体/世界桥,open,2026-09-06 14:40:45,7,T7 重放资料扩展,open,,,,
